privacy_key,name,parent_key,description
WBS 6: 1.01 기존구조물철거,,,
WBS 7: a. 철근콘크리트깨기,,WBS 6: 1.01 기존구조물철거,
WBS 8: a-1. 굴삭기+브레이커,,WBS 7: a. 철근콘크리트깨기,
WBS 9: a-1-1. Tunder30cm,,WBS 8: a-1. 굴삭기+브레이커,
WBS 9: a-1-2. Tover30cm,,WBS 8: a-1. 굴삭기+브레이커,
WBS 8: a-2. 굴삭기+압쇄기,,WBS 7: a. 철근콘크리트깨기,
"WBS 9: a-2-1. Tover30cm, 장애물 미제거",,WBS 8: a-2. 굴삭기+압쇄기,
"WBS 9: a-2-2. Tover30cm, 장애물 제거",,WBS 8: a-2. 굴삭기+압쇄기,
WBS 7: b. 무근콘크리트깨기,,WBS 6: 1.01 기존구조물철거,
WBS 8: b-1. Tunder30cm,,WBS 7: b. 무근콘크리트깨기,
WBS 8: b-2. Tover30cm,,WBS 7: b. 무근콘크리트깨기,
WBS 7: c. 기존포장깨기,,WBS 6: 1.01 기존구조물철거,
WBS 8: c-1. 도로포장깨기,,WBS 7: c. 기존포장깨기,
"WBS 9: c-1-1. 콘크리트포장, Tunder30cm",,WBS 8: c-1. 도로포장깨기,
"WBS 9: c-1-2. 아스팔트포장, Tunder30cm",,WBS 8: c-1. 도로포장깨기,
WBS 8: c-2. 보도블럭포장헐기,,WBS 7: c. 기존포장깨기,
WBS 9: c-2-1. 인력,,WBS 8: c-2. 보도블럭포장헐기,
WBS 10: c-2-1-1. A-type,,WBS 9: c-2-1. 인력,
WBS 10: c-2-1-2. B-type,,WBS 9: c-2-1. 인력,
WBS 9: c-2-2. 기계,,WBS 8: c-2. 보도블럭포장헐기,
WBS 10: c-2-2-1. A-type,,WBS 9: c-2-2. 기계,
WBS 10: c-2-2-2. B-type,,WBS 9: c-2-2. 기계,
WBS 9: c-2-3. 인력 100%,,WBS 8: c-2. 보도블럭포장헐기,
WBS 8: c-3. 보차도 및 도로경계블럭 철거,,WBS 7: c. 기존포장깨기,
WBS 9: c-3-1. A-type,,WBS 8: c-3. 보차도 및 도로경계블럭 철거,
WBS 10: c-3-1-1. B+Hunder300mm,,WBS 9: c-3-1. A-type,
WBS 10: c-3-1-2. B+Hunder350mm,,WBS 9: c-3-1. A-type,
WBS 10: c-3-1-3. B+Hunder400mm,,WBS 9: c-3-1. A-type,
WBS 10: c-3-1-4. B+Hunder500mm,,WBS 9: c-3-1. A-type,
WBS 10: c-3-1-5. B+Hover500mm,,WBS 9: c-3-1. A-type,
WBS 9: c-3-2. B-type,,WBS 8: c-3. 보차도 및 도로경계블럭 철거,
WBS 10: c-3-2-1. B+Hunder300mm,,WBS 9: c-3-2. B-type,
WBS 10: c-3-2-2. B+Hunder350mm,,WBS 9: c-3-2. B-type,
WBS 10: c-3-2-3. B+Hunder400mm,,WBS 9: c-3-2. B-type,
WBS 10: c-3-2-4. B+Hunder500mm,,WBS 9: c-3-2. B-type,
WBS 10: c-3-2-5. B+Hover500mm,,WBS 9: c-3-2. B-type,
WBS 7: d. 포장자르기,,WBS 6: 1.01 기존구조물철거,
WBS 8: d-1. 큰크리트포장,,WBS 7: d. 포장자르기,
WBS 8: d-2. 아스팔트포장,,WBS 7: d. 포장자르기,
WBS 7: e. 석축헐기,,WBS 6: 1.01 기존구조물철거,
WBS 8: e-1. 찰쌓기,,WBS 7: e. 석축헐기,
WBS 8: e-2. 메쌓기,,WBS 7: e. 석축헐기,
WBS 7: f. 콘크리트관 깨기,,WBS 6: 1.01 기존구조물철거,
WBS 8: f-1. D≤300mm,,WBS 7: f. 콘크리트관 깨기,
WBS 8: f-2. D≤500mm,,WBS 7: f. 콘크리트관 깨기,
WBS 8: f-3. D>500mm,,WBS 7: f. 콘크리트관 깨기,
WBS 7: g. PSC빔 철거,,WBS 6: 1.01 기존구조물철거,
WBS 8: g-1. L≤15m,,WBS 7: g. PSC빔 철거,
WBS 8: g-2. L≤20m,,WBS 7: g. PSC빔 철거,
WBS 8: g-3. L≤30m,,WBS 7: g. PSC빔 철거,
WBS 8: g-4. L≤40m,,WBS 7: g. PSC빔 철거,
WBS 8: g-5. L>40m,,WBS 7: g. PSC빔 철거,
WBS 7: h. 임목폐기물 파쇄,,WBS 6: 1.01 기존구조물철거,
WBS 8: h-1. 싣기 및 운반,,WBS 7: h. 임목폐기물 파쇄,
WBS 8: h-2. 파쇄,,WBS 7: h. 임목폐기물 파쇄,
WBS 8: h-3. 소나무 재선충병 방재,,WBS 7: h. 임목폐기물 파쇄,
WBS 7: i. 건설폐기물 파쇄(100mm),,WBS 6: 1.01 기존구조물철거,
WBS 8: i-1. 싣기 및 운반,,WBS 7: i. 건설폐기물 파쇄(100mm),
WBS 8: i-2. 파쇄,,WBS 7: i. 건설폐기물 파쇄(100mm),
WBS 7: j. 기타헐기,,WBS 6: 1.01 기존구조물철거,
WBS 8: j-1. 호안블럭,,WBS 7: j. 기타헐기,
WBS 8: j-2. 돌망태,,WBS 7: j. 기타헐기,
WBS 8: j-3. 견치블럭,,WBS 7: j. 기타헐기,
WBS 8: j-4. 전석,,WBS 7: j. 기타헐기,
WBS 8: j-5. 보강토옹벽,,WBS 7: j. 기타헐기,
WBS 7: k. 영구앵커 철거,,WBS 6: 1.01 기존구조물철거,
WBS 7: l. 콘크리트 절단,,WBS 6: 1.01 기존구조물철거,
WBS 8: l-1. Diamond Wire Saw,,WBS 7: l. 콘크리트 절단,
WBS 7: m. 재래난간 철거,,WBS 6: 1.01 기존구조물철거,
WBS 8: m-1. 강재난간,,WBS 7: m. 재래난간 철거,
WBS 8: m-2. 경량형강재난간,,WBS 7: m. 재래난간 철거,
WBS 8: m-3. 알루미늄합금재난간,,WBS 7: m. 재래난간 철거,
WBS 6: 1.02 표토제거,,,
WBS 7: a. 답구간,,WBS 6: 1.02 표토제거,
WBS 8: a-1. T=20cm,,WBS 7: a. 답구간,
WBS 8: a-2. T=30cm,,WBS 7: a. 답구간,
WBS 8: a-3. T=50cm,,WBS 7: a. 답구간,
WBS 7: b. 답외구간,,WBS 6: 1.02 표토제거,
WBS 8: b-1. T=20cm,,WBS 7: b. 답외구간,
WBS 8: b-2. T=30cm,,WBS 7: b. 답외구간,
WBS 8: b-3. T=50cm,,WBS 7: b. 답외구간,
WBS 7: c. 연약지반,,WBS 6: 1.02 표토제거,
WBS 8: c-1. T=20cm,,WBS 7: c. 연약지반,
WBS 7: d. 비옥토수거,,WBS 6: 1.02 표토제거,
WBS 8: d-1. T=15cm,,WBS 7: d. 비옥토수거,
WBS 8: d-2. T=20cm,,WBS 7: d. 비옥토수거,
WBS 8: d-3. T=30cm,,WBS 7: d. 비옥토수거,
WBS 6: 1.03 수목제거,,,
WBS 7: a. 뿌리뽑기,,WBS 6: 1.03 수목제거,
WBS 7: b. 벌  목,,WBS 6: 1.03 수목제거,
WBS 8: b-1. Hunder5m,,WBS 7: b. 벌  목,
WBS 8: b-2. Hunder8m,,WBS 7: b. 벌  목,
WBS 8: b-3. Hover8m,,WBS 7: b. 벌  목,
WBS 6: 1.04 땅깎기,,,
WBS 7: a. 토사,,WBS 6: 1.04 땅깎기,
WBS 8: a-1. 신설,,WBS 7: a. 토사,
WBS 9: a-1-1. 소규모,,WBS 8: a-1. 신설,
WBS 9: a-1-2. 중규모,,WBS 8: a-1. 신설,
WBS 9: a-1-3. 대규모,,WBS 8: a-1. 신설,
WBS 8: a-2. 확장,,WBS 7: a. 토사,
WBS 9: a-2-1. 소규모,,WBS 8: a-2. 확장,
WBS 9: a-2-2. 중규모,,WBS 8: a-2. 확장,
WBS 9: a-2-3. 대규모,,WBS 8: a-2. 확장,
WBS 7: b. 리핑암,,WBS 6: 1.04 땅깎기,
WBS 8: b-1. 신설,,WBS 7: b. 리핑암,
WBS 8: b-2. 신설,,WBS 7: b. 리핑암,
WBS 8: b-3. 확장,,WBS 7: b. 리핑암,
WBS 7: c. 발파암,,WBS 6: 1.04 땅깎기,
WBS 8: c-1. 정밀깎기(발파10%+기계90%),,WBS 7: c. 발파암,
WBS 8: c-2. 미진동암파쇄굴착,,WBS 7: c. 발파암,
WBS 9: c-2-1. 파쇄제,,WBS 8: c-2. 미진동암파쇄굴착,
WBS 9: c-2-2. 할암봉,,WBS 8: c-2. 미진동암파쇄굴착,
WBS 8: c-3. 정밀진동제어발파,,WBS 7: c. 발파암,
WBS 8: c-4. 진동제어발파(소규모),,WBS 7: c. 발파암,
WBS 8: c-5. 진동제어발파(중규모),,WBS 7: c. 발파암,
WBS 8: c-6. 일반발파,,WBS 7: c. 발파암,
WBS 8: c-7. 일반발파(대규모),,WBS 7: c. 발파암,
WBS 8: c-8. 확장발파(기존도로),,WBS 7: c. 발파암,
WBS 8: c-9. 시험발파비,,WBS 7: c. 발파암,
WBS 8: c-10. 발파암소할,,WBS 7: c. 발파암,
WBS 9: c-10-1. 30cm미만,,WBS 8: c-10. 발파암소할,
WBS 9: c-10-2. 30cm이상,,WBS 8: c-10. 발파암소할,
WBS 6: 1.05 유용토 운반,,,
WBS 7: a. 불도저,,WBS 6: 1.05 유용토 운반,
WBS 8: a-1. 신설,,WBS 7: a. 불도저,
WBS 9: a-1-1. 토사,,WBS 8: a-1. 신설,
WBS 9: a-1-2. 리핑암,,WBS 8: a-1. 신설,
WBS 9: a-1-3. 발파암,,WBS 8: a-1. 신설,
WBS 8: a-2. 확장,,WBS 7: a. 불도저,
WBS 9: a-2-1. 토사,,WBS 8: a-2. 확장,
WBS 9: a-2-2. 리핑암,,WBS 8: a-2. 확장,
WBS 9: a-2-3. 발파암,,WBS 8: a-2. 확장,
WBS 7: b. 덤프트럭,,WBS 6: 1.05 유용토 운반,
WBS 8: b-1. 신설,,WBS 7: b. 덤프트럭,
WBS 9: b-1-1. 토사,,WBS 8: b-1. 신설,
WBS 9: b-1-2. 리핑암,,WBS 8: b-1. 신설,
WBS 9: b-1-3. 발파암(현장암),,WBS 8: b-1. 신설,
"WBS 9: b-1-4. 발파암(현장암, 암쌓기)",,WBS 8: b-1. 신설,
WBS 8: b-2. 확장,,WBS 7: b. 덤프트럭,
WBS 9: b-2-1. 토사,,WBS 8: b-2. 확장,
WBS 9: b-2-2. 리핑암,,WBS 8: b-2. 확장,
WBS 9: b-2-3. 발파암(현장암),,WBS 8: b-2. 확장,
WBS 8: b-3. 발파암(터널암),,WBS 7: b. 덤프트럭,
WBS 8: b-4. 발파암(조경석),,WBS 7: b. 덤프트럭,
WBS 7: c. 비옥토(토사),,WBS 6: 1.05 유용토 운반,
WBS 7: d. 현장 → C/R장,,WBS 6: 1.05 유용토 운반,
WBS 8: d-1. 토사,,WBS 7: d. 현장 → C/R장,
WBS 8: d-2. 리핑암,,WBS 7: d. 현장 → C/R장,
WBS 8: d-3. 발파암(현장암),,WBS 7: d. 현장 → C/R장,
WBS 8: d-4. 발파암(터널암),,WBS 7: d. 현장 → C/R장,
WBS 7: e. 가적치장 → C/R장,,WBS 6: 1.05 유용토 운반,
WBS 8: e-1. 토사,,WBS 7: e. 가적치장 → C/R장,
WBS 8: e-2. 리핑암,,WBS 7: e. 가적치장 → C/R장,
WBS 8: e-3. 발파암(현장암),,WBS 7: e. 가적치장 → C/R장,
WBS 8: e-4. 발파암(터널암),,WBS 7: e. 가적치장 → C/R장,
WBS 7: f. 현장 → 가적치장,,WBS 6: 1.05 유용토 운반,
WBS 8: f-1. 토사,,WBS 7: f. 현장 → 가적치장,
WBS 8: f-2. 리핑암,,WBS 7: f. 현장 → 가적치장,
WBS 8: f-3. 발파암(현장암),,WBS 7: f. 현장 → 가적치장,
WBS 8: f-4. 발파암(터널암),,WBS 7: f. 현장 → 가적치장,
WBS 7: g. 가적치장 → 현장,,WBS 6: 1.05 유용토 운반,
WBS 8: g-1. 토사,,WBS 7: g. 가적치장 → 현장,
WBS 8: g-2. 리핑암,,WBS 7: g. 가적치장 → 현장,
WBS 8: g-3. 발파암(현장암),,WBS 7: g. 가적치장 → 현장,
WBS 8: g-4. 발파암(터널암),,WBS 7: g. 가적치장 → 현장,
WBS 7: h. 현장 → 현장(과재쌓기 제거토),,WBS 6: 1.05 유용토 운반,
WBS 8: h-1. 토사,,WBS 7: h. 현장 → 현장(과재쌓기 제거토),
WBS 6: 1.06 부족토(순쌓기) 운반,,,
WBS 7: a. 타공구 반입토,,WBS 6: 1.06 부족토(순쌓기) 운반,
WBS 8: a-1. 토사,,WBS 7: a. 타공구 반입토,
WBS 8: a-2. 리핑암,,WBS 7: a. 타공구 반입토,
WBS 8: a-3. 발파암,,WBS 7: a. 타공구 반입토,
WBS 7: b. 채취토(토취장 No.-),,WBS 6: 1.06 부족토(순쌓기) 운반,
WBS 8: a-1. 토사,,WBS 7: b. 채취토(토취장 No.-),
WBS 8: a-2. 리핑암,,WBS 7: b. 채취토(토취장 No.-),
WBS 8: a-3. 발파암,,WBS 7: b. 채취토(토취장 No.-),
WBS 6: 1.07 남는흙 운반,,,
WBS 7: a. 현장 → 사토장 운반,,WBS 6: 1.07 남는흙 운반,
WBS 8: a-1. 토사,,WBS 7: a. 현장 → 사토장 운반,
WBS 8: a-2. 리핑암,,WBS 7: a. 현장 → 사토장 운반,
WBS 8: a-3. 발파암(현장암),,WBS 7: a. 현장 → 사토장 운반,
WBS 8: a-4. 발파암(터널암),,WBS 7: a. 현장 → 사토장 운반,
WBS 7: b. 가적치장 → 사토장 운반,,WBS 6: 1.07 남는흙 운반,
WBS 8: b-1. 토사,,WBS 7: b. 가적치장 → 사토장 운반,
WBS 8: b-2. 리핑암,,WBS 7: b. 가적치장 → 사토장 운반,
WBS 8: b-3. 발파암(터널암),,WBS 7: b. 가적치장 → 사토장 운반,
WBS 7: c. 발파암(모암판매),,WBS 6: 1.07 남는흙 운반,
WBS 7: d. 비옥토,,WBS 6: 1.07 남는흙 운반,
WBS 7: e. 점성토 제거,,WBS 6: 1.07 남는흙 운반,
WBS 6: 1.08 타공구 반출토(싣기),,,
WBS 7: a. 토사,,WBS 6: 1.08 타공구 반출토(싣기),
WBS 7: b. 리핑암,,WBS 6: 1.08 타공구 반출토(싣기),
WBS 7: c. 발파암(현장암),,WBS 6: 1.08 타공구 반출토(싣기),
WBS 7: d. 발파암(터널암),,WBS 6: 1.08 타공구 반출토(싣기),
WBS 6: 1.09 흙쌓기,,,
WBS 7: a. 노상,,WBS 6: 1.09 흙쌓기,
WBS 8: a-1. 신설,,WBS 7: a. 노상,
WBS 9: a-1-1. 토사,,WBS 8: a-1. 신설,
WBS 9: a-1-2. SB-1,,WBS 8: a-1. 신설,
WBS 8: a-2. 확장,,WBS 7: a. 노상,
WBS 9: a-2-1. 토사,,WBS 8: a-2. 확장,
WBS 7: b. 노체,,WBS 6: 1.09 흙쌓기,
WBS 8: b-1. 신설,,WBS 7: b. 노체,
WBS 9: b-1-1. 토사,,WBS 8: b-1. 신설,
WBS 9: b-1-2. 발파암,,WBS 8: b-1. 신설,
WBS 9: b-1-3. 암쌓기,,WBS 8: b-1. 신설,
WBS 8: b-2. 확장,,WBS 7: b. 노체,
WBS 9: b-1-1. 토사,,WBS 8: b-2. 확장,
WBS 9: b-1-2. 발파암,,WBS 8: b-2. 확장,
WBS 9: b-1-3. 암쌓기,,WBS 8: b-2. 확장,
WBS 7: c. 비다짐쌓기,,WBS 6: 1.09 흙쌓기,
WBS 7: d. 경량성토(E.P.S 블록),,WBS 6: 1.09 흙쌓기,
WBS 7: e. 흙쌓기비탈면 다짐,,WBS 6: 1.09 흙쌓기,
WBS 7: f. 노상가적치,,WBS 6: 1.09 흙쌓기,
WBS 6: 1.10 노상준비공,,,
WBS 7: a. 신설,,WBS 6: 1.10 노상준비공,
WBS 7: b. 확장(기존도로),,WBS 6: 1.10 노상준비공,
